top - 13:05:42 up  1:14,  1 user,  load average: 12.00, 11.97, 11.28
Tasks:  44 total,  13 running,  31 sleeping,   0 stopped,   0 zombie
Cpu(s):  66.3% user,   6.8% system,   0.0% nice,  26.9% idle
Mem:    257044k total,    73532k used,   183512k free,    12160k buffers
Swap:        0k total,        0k used,        0k free,    48788k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  755 u1        20   0   236  236  196 R 20.0  0.1   5:07.04 u1p1               
  770 u3        20   0   236  236  196 R 18.0  0.1   4:55.74 u3p2               
  756 u1        20   0   236  236  196 R 12.0  0.1   5:04.16 u1p2               
  762 u2        20   0   236  236  196 R 12.0  0.1   4:59.01 u2p1               
  763 u2        20   0   236  236  196 R 12.0  0.1   4:57.72 u2p2               
  769 u3        20   0   236  236  196 R 12.0  0.1   4:56.01 u3p1               
  776 u4        20   0   236  236  196 R 12.0  0.1   4:53.19 u4p1               
  777 u4        15   0   236  236  196 R  2.0  0.1   4:52.29 u4p2               
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.11 init               
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.39 kupdated           
   99 root       9   0     0    0    0 S  0.0  0.0   0:05.11 kjournald          
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd              
  695 Debian-e   8   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  701 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  705 lp         9   0   864  864  752 S  0.0  0.3   0:00.01 lpd                
  712 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd               
  717 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd          
  720 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  723 root       8   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  729 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  730 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  731 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  732 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  733 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  734 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  735 root       9   0  2252 2244 1948 S  0.0  0.9   0:04.12 sshd               
  737 root       9   0  2252 2244 1948 S  0.0  0.9   0:00.00 sshd               
  739 root      11   0  1640 1640 1212 S  0.0  0.6   0:00.03 bash               
  743 root       9   0  2260 2252 1944 S  0.0  0.9   0:01.16 sshd               
  745 root       9   0  2260 2252 1944 S  0.0  0.9   0:00.02 sshd               
  747 root       9   0  1056 1056  780 S  0.0  0.4   0:00.09 sftp-server        
  796 u5        14   0   236  236  196 R  0.0  0.1   4:20.76 u5p1               
  809 u1        14   0   236  236  196 R  0.0  0.1   4:16.15 u1p3               
  815 u1        14   0   236  236  196 R  0.0  0.1   4:15.43 u1p4               
  884 u6        14   0   236  236  196 R  0.0  0.1   1:17.37 u6p1               
  908 root      11   0   948  948  768 R  0.0  0.4   0:00.00 top                


top - 13:05:43 up  1:14,  1 user,  load average: 12.00, 11.97, 11.28
Tasks:  44 total,  13 running,  31 sleeping,   0 stopped,   0 zombie
Cpu(s):  94.0% user,   6.0% system,   0.0% nice,   0.0% idle
Mem:    257044k total,    73552k used,   183492k free,    12168k buffers
Swap:        0k total,        0k used,        0k free,    48792k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  796 u5        20   0   236  236  196 R 12.0  0.1   4:20.88 u5p1               
  809 u1        20   0   236  236  196 R 12.0  0.1   4:16.27 u1p3               
  815 u1        20   0   236  236  196 R 12.0  0.1   4:15.55 u1p4               
  777 u4        20   0   236  236  196 R 11.0  0.1   4:52.40 u4p2               
