top - 13:59:31 up  1:17,  1 user,  load average: 5.87, 5.51, 4.51
Tasks:  42 total,   6 running,  36 sleeping,   0 stopped,   0 zombie
Cpu(s):   3.2% user,  95.2% system,   0.0% nice,   1.6% idle
Mem:    255868k total,    33208k used,   222660k free,     1356k buffers
Swap:        0k total,        0k used,        0k free,    20168k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND         
  664 u3        20   0   236  236  196 R 35.3  0.1   4:33.09 u3p1            
  610 u1        20   0   236  236  196 R 17.7  0.1  18:06.20 u1p1            
  658 u2        20   0   236  236  196 R 17.7  0.1   2:22.87 u2p2            
  617 u2        14   0   236  236  196 R 16.2  0.1  33:04.65 u2p1            
  611 u1        17   0   236  236  196 R 13.2  0.1  18:05.85 u1p2            
    1 root       9   0   500  500  448 S  0.0  0.2   0:04.29 init            
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd         
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.01 ksoftirqd_CPU0  
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd          
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush         
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.37 kupdated        
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd           
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient        
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap         
  519 root       9   0   808  808  704 S  0.0  0.3   0:00.20 syslogd         
  522 root       9   0  1372 1368  456 S  0.0  0.5   0:00.02 klogd           
  557 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.01 exim4           
  563 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd           
  567 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd             
  574 root       9   0  1540 1536 1396 S  0.0  0.6   0:00.01 sshd            
  578 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd       
  582 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd             
  585 root       8   0   716  716  612 S  0.0  0.3   0:00.00 cron            
  591 root       9   0   472  472  420 S  0.0  0.2   0:00.01 getty           
  592 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty           
  593 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty           
  594 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty           
  595 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty           
  596 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty           
  597 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.75 sshd            
