top - 16:57:09 up 36 min,  2 users,  load average: 14.56, 14.53, 12.27
Tasks:  42 total,  12 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):  89.8% user,   2.7% system,   0.0% nice,   7.5% idle
Mem:    255868k total,    27180k used,   228688k free,     1172k buffers
Swap:        0k total,        0k used,        0k free,    15956k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 20.0  0.1   4:50.88 u5p1               
  670 u2        20   0   236  236  196 R 10.0  0.1   3:09.24 u2p1               
  671 u2        20   0   236  236  196 R 10.0  0.1   3:06.86 u2p2               
  678 u3        20   0   236  236  196 R 10.0  0.1   2:50.16 u3p1               
  679 u3        20   0   236  236  196 R 10.0  0.1   2:47.52 u3p2               
  685 u4        20   0   236  236  196 R 10.0  0.1   2:41.76 u4p1               
  686 u4        20   0   236  236  196 R 10.0  0.1   2:37.92 u4p2               
  660 u1        20   0   236  236  196 R  5.0  0.1   1:50.22 u1p1               
  661 u1        20   0   236  236  196 R  5.0  0.1   1:46.53 u1p2               
  662 u1        20   0   236  236  196 R  5.0  0.1   1:45.03 u1p3               
  663 u1        20   0   236  236  196 R  5.0  0.1   1:43.89 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.10 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.01 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  519 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  522 root       9   0  1372 1368  456 S  0.0  0.5   0:00.02 klogd              
  557 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  563 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  567 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  574 root       9   0  1536 1532 1392 S  0.0  0.6   0:00.00 sshd               
  579 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd          
  582 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  585 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  591 root       9   0  1636 1636 1200 S  0.0  0.6   0:00.04 bash               
  592 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  593 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  594 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  595 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  596 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  600 root       9   0  2228 2220 1944 S  0.0  0.9   0:00.04 sshd               
  602 root       9   0  2228 2220 1944 S  0.0  0.9   0:00.00 sshd               
  604 root      11   0  1620 1620 1208 S  0.0  0.6   0:00.02 bash               
  624 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.01 sshd               
  626 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd               
  628 root       9   0   976  976  780 S  0.0  0.4   0:00.00 sftp-server        
  698 root      11   0   948  948  768 R  0.0  0.4   0:00.00 top                


top - 16:57:18 up 36 min,  2 users,  load average: 14.64, 14.54, 12.30
Tasks:  42 total,  12 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):  90.0% user,  10.0% system,   0.0% nice,   0.0% idle
Mem:    255868k total,    27188k used,   228680k free,     1172k buffers
Swap:        0k total,        0k used,        0k free,    15960k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 20.0  0.1   4:52.80 u5p1               
  670 u2        20   0   236  236  196 R 10.0  0.1   3:10.20 u2p1               
  671 u2        20   0   236  236  196 R 10.0  0.1   3:07.82 u2p2               
  678 u3        20   0   236  236  196 R 10.0  0.1   2:51.12 u3p1               
  679 u3        20   0   236  236  196 R 10.0  0.1   2:48.48 u3p2               
  685 u4        20   0   236  236  196 R 10.0  0.1   2:42.72 u4p1               
  686 u4        20   0   236  236  196 R 10.0  0.1   2:38.88 u4p2               
  660 u1        20   0   236  236  196 R  5.0  0.1   1:50.70 u1p1               
  661 u1        20   0   236  236  196 R  5.0  0.1   1:47.01 u1p2               
  662 u1        20   0   236  236  196 R  5.0  0.1   1:45.51 u1p3               
  663 u1        20   0   236  236  196 R  5.0  0.1   1:44.37 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.10 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.01 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  519 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  522 root       9   0  1372 1368  456 S  0.0  0.5   0:00.02 klogd              
  557 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  563 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  567 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  574 root       9   0  1536 1532 1392 S  0.0  0.6   0:00.00 sshd               
  579 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd          
  582 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  585 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  591 root       9   0  1636 1636 1200 S  0.0  0.6   0:00.04 bash               
  592 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  593 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  594 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  595 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  596 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  600 root       9   0  2228 2220 1944 S  0.0  0.9   0:00.04 sshd               
  602 root       9   0  2228 2220 1944 S  0.0  0.9   0:00.00 sshd               
  604 root      10   0  1620 1620 1208 S  0.0  0.6   0:00.02 bash               
  624 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.01 sshd               
  626 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd               
  628 root       9   0   976  976  780 S  0.0  0.4   0:00.00 sftp-server        
  698 root      10   0  1036 1036  844 R  0.0  0.4   0:00.00 top                


top - 16:57:28 up 36 min,  2 users,  load average: 14.70, 14.56, 12.32
Tasks:  42 total,  13 running,  29 sleeping,   0 stopped,   0 zombie
Cpu(s):  99.2% user,   0.7% system,   0.0% nice,   0.1% idle
Mem:    255868k total,    27192k used,   228676k free,     1172k buffers
Swap:        0k total,        0k used,        0k free,    15964k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 20.0  0.1   4:54.72 u5p1               
  670 u2        20   0   236  236  196 R 10.0  0.1   3:11.16 u2p1               
  671 u2        20   0   236  236  196 R 10.0  0.1   3:08.78 u2p2               
  678 u3        20   0   236  236  196 R 10.0  0.1   2:52.08 u3p1               
  679 u3        20   0   236  236  196 R 10.0  0.1   2:49.44 u3p2               
  685 u4        20   0   236  236  196 R 10.0  0.1   2:43.68 u4p1               
  686 u4        20   0   236  236  196 R 10.0  0.1   2:39.84 u4p2               
  660 u1        20   0   236  236  196 R  5.0  0.1   1:51.18 u1p1               
  661 u1        20   0   236  236  196 R  5.0  0.1   1:47.49 u1p2               
  662 u1        20   0   236  236  196 R  5.0  0.1   1:45.99 u1p3               
  663 u1        20   0   236  236  196 R  5.0  0.1   1:44.85 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.10 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.01 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  519 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  522 root       9   0  1372 1368  456 S  0.0  0.5   0:00.02 klogd              
  557 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  563 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  567 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  574 root       9   0  1536 1532 1392 S  0.0  0.6   0:00.00 sshd               
  579 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd          
  582 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  585 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  591 root       9   0  1636 1636 1200 S  0.0  0.6   0:00.04 bash               
  592 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  593 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  594 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  595 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  596 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  600 root       9   0  2228 2220 1944 S  0.0  0.9   0:00.04 sshd               
  602 root       9   0  2228 2220 1944 R  0.0  0.9   0:00.00 sshd               
  604 root       9   0  1620 1620 1208 S  0.0  0.6   0:00.02 bash               
  624 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.01 sshd               
  626 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd               
  628 root       9   0   976  976  780 S  0.0  0.4   0:00.00 sftp-server        
  698 root       9   0  1036 1036  844 R  0.0  0.4   0:00.00 top                


top - 16:57:37 up 36 min,  2 users,  load average: 14.75, 14.57, 12.35
Tasks:  42 total,  13 running,  29 sleeping,   0 stopped,   0 zombie
Cpu(s):  96.7% user,   2.5% system,   0.0% nice,   0.8% idle
Mem:    255868k total,    27196k used,   228672k free,     1172k buffers
Swap:        0k total,        0k used,        0k free,    15968k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 19.8  0.1   4:56.64 u5p1               
  670 u2        20   0   236  236  196 R  9.9  0.1   3:12.12 u2p1               
  671 u2        20   0   236  236  196 R  9.9  0.1   3:09.74 u2p2               
  678 u3        20   0   236  236  196 R  9.9  0.1   2:53.04 u3p1               
  679 u3        20   0   236  236  196 R  9.9  0.1   2:50.40 u3p2               
  685 u4        20   0   236  236  196 R  9.9  0.1   2:44.64 u4p1               
  686 u4        20   0   236  236  196 R  9.9  0.1   2:40.80 u4p2               
  660 u1        20   0   236  236  196 R  5.0  0.1   1:51.66 u1p1               
  661 u1        20   0   236  236  196 R  5.0  0.1   1:47.97 u1p2               
  662 u1        20   0   236  236  196 R  5.0  0.1   1:46.47 u1p3               
  663 u1        20   0   236  236  196 R  5.0  0.1   1:45.33 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.10 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.01 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  519 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  522 root       9   0  1372 1368  456 S  0.0  0.5   0:00.02 klogd              
  557 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  563 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  567 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  574 root       9   0  1536 1532 1392 S  0.0  0.6   0:00.00 sshd               
  579 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd          
  582 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  585 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  591 root       9   0  1636 1636 1200 S  0.0  0.6   0:00.04 bash               
  592 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  593 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  594 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  595 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  596 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  600 root       9   0  2228 2220 1944 S  0.0  0.9   0:00.04 sshd               
  602 root       9   0  2228 2220 1944 R  0.0  0.9   0:00.00 sshd               
  604 root       9   0  1620 1620 1208 S  0.0  0.6   0:00.02 bash               
  624 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.01 sshd               
  626 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd               
  628 root       9   0   976  976  780 S  0.0  0.4   0:00.00 sftp-server        
  698 root       9   0  1036 1036  844 R  0.0  0.4   0:00.00 top                


top - 16:57:47 up 36 min,  2 users,  load average: 14.95, 14.62, 12.39
Tasks:  42 total,  14 running,  28 sleeping,   0 stopped,   0 zombie
Cpu(s):  92.8% user,   6.9% system,   0.0% nice,   0.3% idle
Mem:    255868k total,    27200k used,   228668k free,     1172k buffers
Swap:        0k total,        0k used,        0k free,    15972k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 19.9  0.1   4:58.56 u5p1               
  670 u2        20   0   236  236  196 R 10.0  0.1   3:13.08 u2p1               
  671 u2        20   0   236  236  196 R 10.0  0.1   3:10.70 u2p2               
  678 u3        20   0   236  236  196 R 10.0  0.1   2:54.00 u3p1               
  679 u3        20   0   236  236  196 R 10.0  0.1   2:51.36 u3p2               
  685 u4        20   0   236  236  196 R 10.0  0.1   2:45.60 u4p1               
