top - 08:14:43 up  1:14,  2 users,  load average: 15.50, 15.71, 15.52
Tasks:  43 total,  13 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):  96.3% user,   2.6% system,   0.0% nice,   1.2% idle
Mem:    255868k total,    28192k used,   227676k free,     1184k buffers
Swap:        0k total,        0k used,        0k free,    16680k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  650 u5        20   0   236  236  196 R 16.7  0.1  11:49.44 u5p1               
  656 u6        20   0   236  236  196 R 16.7  0.1  11:30.24 u6p1               
  629 u2        20   0   236  236  196 R  8.3  0.1   6:20.04 u2p1               
  630 u2        20   0   236  236  196 R  8.3  0.1   6:18.36 u2p2               
  636 u3        20   0   236  236  196 R  8.3  0.1   6:13.44 u3p1               
  637 u3        20   0   236  236  196 R  8.3  0.1   6:11.76 u3p2               
  643 u4        20   0   236  236  196 R  8.3  0.1   6:07.20 u4p1               
  644 u4        20   0   236  236  196 R  8.3  0.1   6:02.40 u4p2               
  619 u1        20   0   236  236  196 R  4.2  0.1   3:25.12 u1p1               
  620 u1        20   0   236  236  196 R  4.2  0.1   3:19.29 u1p2               
  621 u1        20   0   236  236  196 R  4.2  0.1   3:17.77 u1p3               
  622 u1        20   0   236  236  196 R  4.2  0.1   3:16.42 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.13 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.01 portmap            
  519 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  522 root       9   0  1372 1368  456 S  0.0  0.5   0:00.02 klogd              
  557 Debian-e   8   0  1748 1744 1504 S  0.0  0.7   0:00.01 exim4              
  563 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  567 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  574 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd               
  579 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd          
